"CD_PROT_ECHANTILLONNAGE";"CD_PROTOCOLE";"UNITE";"NB_UNITE";"DUREE";"TAILLE";"PASSAGES_AN";"PERIODE_AN";"PLAN_ECH";"COMMENTAIRE";"NIVEAU"
238;238;"Point d'observation";;;"distance de 400m du site de dortoir";;"octobre à janvier";"Subjectif/orienté";;"1"
239;239;"Carré";"5/ département";"50h";"5x5 km";"1 à 2/mois";"février/mars à juillet/août";"Aléatoire simple";;"1"
239002;239;"Point d'observation";"25";"1h";"500m de rayon d'observation";"2 à 3";;"Systématique";;"2"
240;240;"Point d'écoute";"91";;;"1/an";"printemps";"Systématique";"Stations espacées de 5km.";"1"
241;241;"Site";;;;"3";"mi-mai, mi-juin et mi-juillet";;"Cette méthode nécessite 2 observateurs qui réalisent l’échantillonnage d’un point au même moment.";"1"
242;242;"Carré (maille)";;"20' à 1h30";"500x500 m";"3";"01/04 (± 15 j); 01/05 ± 15 j); 01/06 ± 15 j).";"Stratifié";"Les mailles de 500 m × 500 m — emboîtées dans les mailles de 10 km × 10 km — sont censées couvrir
l’ensemble des habitats favorables, pour toutes les espèces concernées par l’approche par
échantillonnage probabilist";
244;244;"point d’observation";;"Nuit (commence 10 min avant le coucher du soleil, stoppé suite à 10
min consécutives sans aucune sortie de chauve-souris).";;"2/an (minimum)
où la présence d’adultes sur colonie est la plus importante.";"juillet – août et décembre – janvier.";"Subjectif/orienté";"2 observateurs";"1"
245;245;"point d’observation";"1";;;"1/mois";"Toute l’année";"Subjectif/orienté";"Point d’observation à minimum de 100 m du dortoir. 1 à 3 observateurs. A réaliser 45 min à 1h30 après lever du soleil.";"1"
246;246;"Station";;;"largeur < 8 m; profondeur < 60 cm (idéalement <40 cm), linéaire continu sur 100m";;;"Subjectif/orienté";"La longueur de la station dépend de sa largeur. Trente points sont à échantillonner par station, avec une séparation de 5 m entre chaque point.";"1"
246002;246;"Point d’échantillonnage";"30";"0,5'";"2m de rayon";;"septembre (mais possible à partir de juin)";"Systématique";"5 à 6 personnes.";"2"
247;247;"Station";;"5'";;;;"Subjectif/orienté";"Seuls les radiers/rapides (granulométrie grossière, profondeur< 40 cm et vitesse de courant > 40 cm.s-1 ) sont prospectés.";"1"
247002;247;"Point d’échantillonnage";"35 à 45";;;;"septembre-octobre";"Systématique";"4 personnes.";"2"
248;248;"Station";;;;;;;;
249;249;"Point d'écoute";"10";"2 * 5 minutes";"Rayon d'écoute de 100 m";"1";"10 mai au 5 juillet";"Aléatoire simple";"Les points d'écoute sont définis par un référent qu'il convient de contacter avant la mise en place du protocole";
250;250;"Transects";"1 à 3";;"100 à 800 mètres";"1";"Mai-juin";;;
250002;250;"Placettes";"5 à 20";;;"1";"Mai-juin";;;
251;251;"Points";"En fonction du site";"En fonction de la surface des mares";;"3";"Dès la détection des espèces précoce (généralement entre le 15 février et le 15 mars), entre le 15 avril et le 15 mai et entre le 15 juin et le 15 juillet";;;
252;252;"Transect";"Dépend de la configuration du site";;"25 mètres de long et 5 mètres de large";"3";"1ère visite : avril/mai, 2ème visite : juin/juillet, 3ème visite : août/septembre";;"Cette option est à retenir dans tous les cas où l'interface terre/eau est bien marquée et où le déplacement à pied le long du transect est aisé (sol portant, eau peu profonde, zone peu encombrée)";
252002;252;"Points";"Dépend de la configuration du site";;"Rayon de 5 à 10 mètres";"3";"1ère visite : avril/mai, 2ème visite : juin/juillet, 3ème visite : août/septembre";;;
253;253;"Tronçon routier";"1 tronçon par maille de l'IGN";;"Au moins 4 kilomètres";;"Mi janvier : entre le 10 et le 21 janvier";"Systématique";;
253002;253;"Points";"5 par trçon routier";"5 minutes";;;"Mi janvier : entre le 10 et le 21 janvier";"Systématique";;
254;254;"Points d'écoute";;"10 minutes";"Rayon de 500 mètres";"2";"1er passage entre le 1er et le 30 avril, 2ème passage entre le 15 mai et le 15 juin";"Systématique";;
